VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee,LocationID_DO,lat_DO,lng_DO,LocationID_PU,lat_PU,lng_PU,timestamp
2,2022-01-02 07:37:18,2022-01-02 07:47:50,1.0,3.34,1.0,N,142,234,1,11.5,0.0,0.5,2.96,0.0,0.3,17.76,2.5,0.0,234,40.74031346458802,-73.99047761896912,142,40.77390598538879,-73.98135241373991,2022-01-02 07:47:50 - 2022-01-02 07:37:18
2,2022-01-02 07:00:00,2022-01-02 07:14:00,,6.03,,,142,244,0,23.89,0.0,0.5,5.88,0.0,0.3,33.07,,,244,40.84121866986656,-73.94166681405747,142,40.77390598538879,-73.98135241373991,2022-01-02 07:14:00 - 2022-01-02 07:00:00
2,2022-01-02 07:46:59,2022-01-02 08:07:20,3.0,6.64,1.0,N,142,147,2,21.5,0.0,0.5,0.0,0.0,0.3,24.8,2.5,0.0,147,40.81919853034568,-73.89819293473154,142,40.77390598538879,-73.98135241373991,2022-01-02 08:07:20 - 2022-01-02 07:46:59
1,2022-01-02 07:56:26,2022-01-02 08:24:16,2.0,11.0,1.0,N,142,138,1,32.0,2.5,0.5,9.7,13.1,0.3,58.1,2.5,0.0,138,40.77486738951802,-73.8728037146871,142,40.77390598538879,-73.98135241373991,2022-01-02 08:24:16 - 2022-01-02 07:56:26
2,2022-01-02 07:04:25,2022-01-02 07:27:46,1.0,10.78,1.0,N,142,138,1,31.5,0.0,0.5,6.96,0.0,0.3,41.76,2.5,0.0,138,40.77486738951802,-73.8728037146871,142,40.77390598538879,-73.98135241373991,2022-01-02 07:27:46 - 2022-01-02 07:04:25
1,2022-01-02 07:06:39,2022-01-02 07:11:14,1.0,1.0,1.0,N,142,230,2,5.5,2.5,0.5,0.0,0.0,0.3,8.8,2.5,0.0,230,40.75984474002954,-73.98417616082217,142,40.77390598538879,-73.98135241373991,2022-01-02 07:11:14 - 2022-01-02 07:06:39
2,2022-01-02 07:52:35,2022-01-02 08:24:20,3.0,21.13,1.0,N,142,29,2,-57.0,0.0,-0.5,0.0,0.0,-0.3,-60.3,-2.5,0.0,29,40.58219554657125,-73.96057984811755,142,40.77390598538879,-73.98135241373991,2022-01-02 08:24:20 - 2022-01-02 07:52:35
2,2022-01-02 07:52:35,2022-01-02 08:24:20,3.0,21.13,1.0,N,142,29,2,57.0,0.0,0.5,0.0,0.0,0.3,60.3,2.5,0.0,29,40.58219554657125,-73.96057984811755,142,40.77390598538879,-73.98135241373991,2022-01-02 08:24:20 - 2022-01-02 07:52:35
2,2022-01-02 07:09:42,2022-01-02 07:13:35,1.0,0.95,1.0,N,166,166,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3,0.0,0.0,166,40.80957022827245,-73.96181526438258,166,40.80957022827245,-73.96181526438258,2022-01-02 07:13:35 - 2022-01-02 07:09:42
1,2022-01-02 07:38:51,2022-01-02 07:44:05,1.0,1.0,1.0,N,166,238,1,6.0,2.5,0.5,2.75,0.0,0.3,12.05,2.5,0.0,238,40.79176624678264,-73.97281451745027,166,40.80957022827245,-73.96181526438258,2022-01-02 07:44:05 - 2022-01-02 07:38:51
2,2022-01-02 07:59:19,2022-01-02 08:15:26,1.0,5.16,1.0,N,166,170,1,17.0,0.0,0.5,5.08,0.0,0.3,25.38,2.5,0.0,170,40.74765428110328,-73.97694199243557,166,40.80957022827245,-73.96181526438258,2022-01-02 08:15:26 - 2022-01-02 07:59:19
2,2022-01-02 07:07:40,2022-01-02 07:19:55,1.0,4.92,1.0,N,166,246,1,16.0,0.0,0.5,3.86,0.0,0.3,23.16,2.5,0.0,246,40.7524372519649,-74.00451257207506,166,40.80957022827245,-73.96181526438258,2022-01-02 07:19:55 - 2022-01-02 07:07:40
1,2022-01-02 07:35:00,2022-01-02 07:39:38,1.0,1.6,1.0,N,166,116,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3,0.0,0.0,116,40.827535259806176,-73.94736754322265,166,40.80957022827245,-73.96181526438258,2022-01-02 07:39:38 - 2022-01-02 07:35:00
1,2022-01-02 07:55:53,2022-01-02 08:21:55,1.0,4.8,1.0,N,166,169,2,17.5,0.0,0.5,0.0,0.0,0.3,18.3,0.0,0.0,169,40.84911482191491,-73.90502146000487,166,40.80957022827245,-73.96181526438258,2022-01-02 08:21:55 - 2022-01-02 07:55:53
2,2022-01-02 07:35:24,2022-01-02 07:51:41,1.0,3.82,1.0,N,166,100,2,15.5,0.0,0.5,0.0,0.0,0.3,18.8,2.5,0.0,100,40.75351409177484,-73.98878589284917,166,40.80957022827245,-73.96181526438258,2022-01-02 07:51:41 - 2022-01-02 07:35:24
2,2022-01-02 07:53:02,2022-01-02 08:12:51,1.0,9.62,1.0,N,70,236,1,28.0,0.0,0.5,8.14,0.0,0.3,40.69,2.5,1.25,236,40.78049147573493,-73.95697238530639,70,40.7639478203256,-73.86840291436437,2022-01-02 08:12:51 - 2022-01-02 07:53:02
1,2022-01-02 07:58:08,2022-01-02 08:23:50,0.0,10.5,1.0,N,70,62,1,31.5,0.0,0.5,6.45,0.0,0.3,38.75,0.0,0.0,62,40.667089560726346,-73.94926996707467,70,40.7639478203256,-73.86840291436437,2022-01-02 08:23:50 - 2022-01-02 07:58:08
2,2022-01-02 07:54:35,2022-01-02 08:09:15,1.0,7.46,1.0,N,70,126,2,22.0,0.0,0.5,0.0,6.55,0.3,29.35,0.0,0.0,126,40.81391819218723,-73.88497727293631,70,40.7639478203256,-73.86840291436437,2022-01-02 08:09:15 - 2022-01-02 07:54:35
2,2022-01-02 07:03:15,2022-01-02 07:06:47,5.0,0.92,1.0,N,237,229,2,5.0,0.0,0.5,0.0,0.0,0.3,8.3,2.5,0.0,229,40.7565892984895,-73.96517419892118,237,40.76854188466485,-73.96569149194592,2022-01-02 07:06:47 - 2022-01-02 07:03:15
2,2022-01-02 07:34:50,2022-01-02 07:40:22,1.0,1.62,1.0,N,237,140,1,7.0,0.0,0.5,1.0,0.0,0.3,11.3,2.5,0.0,140,40.76550681823176,-73.95456804213481,237,40.76854188466485,-73.96569149194592,2022-01-02 07:40:22 - 2022-01-02 07:34:50
